"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"100nF";"C-EUC1206";"C1206";"C3, C9, C11, C12";"CAPACITOR, European symbol";"";
"1";"10K";"R-EU_R0805";"R0805";"RL2";"RESISTOR, European symbol";"";
"2";"10k";"R-EU_M0805";"M0805";"R3, R15";"RESISTOR, European symbol";"";
"2";"10uF";"C-EUC1206";"C1206";"C7, C10";"CAPACITOR, European symbol";"";
"1";"16MHz";"XTALNX6035";"NX6035";"X3";"Low cost SMT crystals, no capacitors included";"";
"8";"1K";"R-EU_R0805";"R0805";"R8, R11, R12, R14, R39, RL3, RL4, RL5";"RESISTOR, European symbol";"";
"1";"1M";"R-EU_R1206";"R1206";"R13";"RESISTOR, European symbol";"";
"3";"1N581D1206";"1N581D1206";"LED-1206";"D2, D3, D4";"1.0A SCHOTTKY BARRIER RECTIFIER";"";
"2";"22";"R-EU_M1206";"M1206";"R24, R31";"RESISTOR, European symbol";"";
"2";"22--02";"22--02";"2-PIN-5.08S";"J1, J7";"CONNECTOR";"";
"2";"22pF";"C-EUC1206";"C1206";"C2, C8";"CAPACITOR, European symbol";"";
"1";"ATMEGA32U4-AU";"ATMEGA32U4-AU";"TQFP44";"U$4";"http://www.ladyada.net/library/eagle";"";
"2";"BSP75";"BSP613P";"PG-SOT-223";"Q1, Q3";"SIPMOS (R) Small-Signal-Transistor P-Channel (2 Drain)";"";
"1";"Configure";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"CFG";"Momentary Switch";"";
"1";"GREEN";"LEDCHIPLED_1206";"CHIPLED_1206";"LED1";"LED";"";
"1";"KPJX-4S-S";"KPJX-4S-S";"KPJX-4S-S";"U$6";"";"";
"1";"MINI-USB";"MINI-USB-SCHIELD-32005-201";"32005-201";"X4";"MINI USB-B Conector";"";
"5";"RED";"LEDCHIPLED_1206";"CHIPLED_1206";"LED4, LED9, LED10, LED11, LED12";"LED";"";
"1";"Reset uC";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"RESET1";"Momentary Switch";"";
"1";"SPI";"TINYISPT";"TC2030-MCP-NL";"CON1";"CONNECTOR";"";
"1";"SZ05-ZIGBEE";"SZ05-ZIGBEE";"SZ05-ZIGBEE";"U$3";"";"";
"6";"TERMINALSUPERFICIAL";"TERMINALSUPERFICIAL";"ELPUTAS";"PIN1, PIN2, PIN3, PIN4, PIN5, PIN6";"";"";
